track_id,track_name,artist,genre,danceability,energy,loudness,tempo,valence,duration_ms,popularity,streams,country,subscription_plan,payment_method,revenue_usd
16,Song_16,Artist_152,Latin,0.542,0.681,-8.48,127.36,0.114,237859,90,490027,Japan,Free,PayPal,0.0
17,Song_17,Artist_131,Latin,0.328,0.597,-21.83,104.03,0.07,127512,46,1092139,Japan,Free,Apple Pay,0.0
18,Song_18,Artist_150,Jazz,0.4,0.973,-11.31,79.29,0.468,319408,7,487323,France,Free,Debit Card,0.0
19,Song_19,Artist_53,Electronic,0.582,0.967,-23.23,163.93,0.762,183968,18,1639056,Japan,Free,Debit Card,0.0
20,Song_20,Artist_2,Indie,0.311,0.695,-9.72,183.18,0.195,241534,89,645712,Japan,Free,Apple Pay,0.0
21,Song_21,Artist_88,Pop,0.659,0.545,-16.6,192.18,0.803,180757,21,1464757,UK,Free,Google Pay,0.0
22,Song_22,Artist_158,Indie,0.624,0.583,-22.09,68.21,0.641,272494,8,1372450,UK,Free,PayPal,0.0
23,Song_23,Artist_38,Indie,0.736,0.732,-6.03,163.59,0.349,227753,59,1493025,Australia,Premium,Credit Card,8.4
24,Song_24,Artist_130,Latin,0.903,0.279,-11.49,161.71,0.514,305112,20,206175,UK,Premium,Google Pay,6.36
25,Song_25,Artist_192,Pop,0.884,0.456,-17.2,192.6,0.919,250282,82,893602,USA,Free,Debit Card,0.0
26,Song_26,Artist_188,Pop,0.91,0.259,-24.32,95.41,0.245,216381,83,942511,USA,Free,PayPal,0.0
27,Song_27,Artist_21,Jazz,0.384,0.257,-13.18,163.91,0.5,263836,67,859518,USA,Free,Apple Pay,0.0
28,Song_28,Artist_161,R&B,0.299,0.353,-4.69,67.65,0.612,272236,55,371048,Canada,Free,Google Pay,0.0
29,Song_29,Artist_58,Classical,0.427,0.578,-11.88,148.37,0.174,228915,62,1920031,Brazil,Premium,Credit Card,7.77
30,Song_30,Artist_22,Rock,0.871,0.812,-3.62,109.12,0.089,186679,18,786866,France,Premium,Google Pay,8.0
31,Song_31,Artist_89,Rock,0.929,0.579,-22.0,167.65,0.062,280285,91,818626,India,Free,Apple Pay,0.0
32,Song_32,Artist_49,Latin,0.844,0.462,-12.5,180.86,0.342,192239,79,1923563,Brazil,Free,Credit Card,0.0
33,Song_33,Artist_59,Classical,0.283,0.264,-7.44,111.07,0.117,214386,56,1727236,UK,Free,Google Pay,0.0
34,Song_34,Artist_170,R&B,0.911,0.629,-13.44,133.58,0.773,261878,85,287736,Spain,Free,Apple Pay,0.0
35,Song_35,Artist_188,Classical,0.518,0.412,-23.0,76.44,0.948,258166,22,1410456,Spain,Premium,Google Pay,10.7
36,Song_36,Artist_15,Jazz,0.207,0.68,-12.18,118.37,0.105,306669,8,316346,Germany,Premium,PayPal,7.16
37,Song_37,Artist_190,Indie,0.532,0.962,-11.54,110.51,0.439,136158,11,427220,UK,Premium,Google Pay,11.34
38,Song_38,Artist_190,Latin,0.235,0.287,-8.97,85.64,0.073,311905,12,318177,Japan,Premium,Apple Pay,10.14
39,Song_39,Artist_175,Pop,0.608,0.365,-8.25,185.23,0.171,234523,48,1521048,Australia,Free,Debit Card,0.0
40,Song_40,Artist_190,Latin,0.454,0.569,-8.04,80.73,0.341,147209,63,1278975,Germany,Free,Apple Pay,0.0
41,Song_41,Artist_51,Rock,0.555,0.956,-10.4,149.0,0.404,133763,27,1571803,Brazil,Free,Google Pay,0.0
42,Song_42,Artist_108,R&B,0.66,0.802,-20.25,184.62,0.896,287328,35,973075,Germany,Premium,PayPal,5.13
43,Song_43,Artist_55,Classical,0.852,0.901,-16.11,187.68,0.406,310263,2,1899099,UK,Free,Debit Card,0.0
44,Song_44,Artist_64,R&B,0.696,0.46,-7.93,171.05,0.497,162105,99,1945813,Canada,Free,Apple Pay,0.0
45,Song_45,Artist_131,Jazz,0.526,0.974,-4.02,84.66,0.271,220408,95,1681373,USA,Free,Debit Card,0.0
46,Song_46,Artist_51,Latin,0.815,0.28,-23.26,174.44,0.05,205776,8,1230480,Australia,Free,PayPal,0.0
47,Song_47,Artist_135,Electronic,0.879,0.241,-13.22,98.72,0.859,223423,20,1829664,USA,Free,Credit Card,0.0
48,Song_48,Artist_21,Latin,0.29,0.867,-18.12,189.14,0.124,305482,8,1739219,Brazil,Premium,Debit Card,9.58
49,Song_49,Artist_73,Pop,0.599,0.923,-20.04,159.27,0.918,264582,63,1853343,Spain,Premium,Apple Pay,11.19
50,Song_50,Artist_167,Latin,0.413,0.271,-13.87,169.94,0.168,238747,68,137479,USA,Premium,PayPal,11.23
51,Song_51,Artist_18,Country,0.235,0.288,-11.67,71.9,0.594,187344,31,525702,Japan,Free,Apple Pay,0.0
52,Song_52,Artist_132,Jazz,0.701,0.226,-24.79,141.59,0.949,272936,32,1283800,France,Premium,PayPal,4.43
53,Song_53,Artist_89,Hip-Hop,0.847,0.282,-7.84,174.96,0.175,185945,13,616823,France,Premium,Apple Pay,6.9
54,Song_54,Artist_60,Jazz,0.322,0.363,-6.96,180.62,0.432,251717,86,1037703,Brazil,Premium,PayPal,3.75
55,Song_55,Artist_14,Classical,0.809,0.957,-3.76,64.01,0.752,181264,26,333651,Germany,Free,Google Pay,0.0
56,Song_56,Artist_9,Hip-Hop,0.84,0.721,-21.03,191.48,0.079,203471,81,278289,Spain,Premium,Apple Pay,11.8
57,Song_57,Artist_90,Classical,0.886,0.807,-11.92,66.07,0.671,264998,29,661345,Brazil,Premium,PayPal,11.75
58,Song_58,Artist_53,Classical,0.399,0.805,-15.61,146.03,0.122,240050,91,877321,USA,Premium,Credit Card,6.17
59,Song_59,Artist_130,Pop,0.878,0.617,-17.63,157.07,0.263,252185,86,1843658,Spain,Free,PayPal,0.0
60,Song_60,Artist_84,Pop,0.44,0.822,-12.56,75.03,0.194,303811,18,1005794,Brazil,Free,Credit Card,0.0
61,Song_61,Artist_92,Indie,0.614,0.665,-7.79,66.72,0.867,169213,69,472716,Spain,Free,Debit Card,0.0
62,Song_62,Artist_111,Rock,0.238,0.445,-24.49,169.89,0.212,276883,12,1879415,Australia,Free,PayPal,0.0
63,Song_63,Artist_188,Indie,0.233,0.638,-3.67,113.85,0.086,312759,2,163644,Japan,Free,Debit Card,0.0
64,Song_64,Artist_199,Indie,0.74,0.616,-7.18,75.0,0.579,255664,42,1240180,France,Free,Debit Card,0.0
65,Song_65,Artist_172,Rock,0.533,0.842,-8.47,166.77,0.362,232695,7,1662305,Canada,Free,Google Pay,0.0
66,Song_66,Artist_8,Electronic,0.392,0.966,-8.27,178.88,0.415,144552,47,618591,Spain,Premium,PayPal,3.08
67,Song_67,Artist_175,Hip-Hop,0.343,0.521,-16.44,142.23,0.157,181898,90,1923385,Germany,Free,Google Pay,0.0
68,Song_68,Artist_35,R&B,0.702,0.795,-8.46,82.57,0.723,172118,54,214441,Brazil,Premium,Google Pay,6.72
69,Song_69,Artist_81,Indie,0.2,0.278,-16.49,62.13,0.591,139744,15,241503,USA,Free,Debit Card,0.0
70,Song_70,Artist_164,Latin,0.804,0.806,-5.23,158.11,0.378,142046,58,1679496,France,Free,Apple Pay,0.0
71,Song_71,Artist_50,Latin,0.259,0.49,-21.1,137.02,0.204,201365,33,1732688,Canada,Free,Debit Card,0.0
72,Song_72,Artist_104,Classical,0.344,0.231,-18.57,151.11,0.584,227908,67,1203660,France,Premium,Debit Card,9.83
73,Song_73,Artist_132,Rock,0.49,0.483,-12.87,173.85,0.751,184932,63,1696138,USA,Free,Credit Card,0.0
74,Song_74,Artist_2,Classical,0.564,0.676,-17.98,120.79,0.331,246464,48,13708,France,Free,Apple Pay,0.0
75,Song_75,Artist_134,Country,0.466,0.293,-15.67,77.43,0.073,228229,66,1195699,France,Free,Debit Card,0.0
76,Song_76,Artist_54,Country,0.441,0.921,-14.17,191.6,0.243,143084,81,1863183,Australia,Premium,Apple Pay,5.73
77,Song_77,Artist_106,R&B,0.923,0.261,-6.16,136.34,0.664,156398,65,544623,UK,Free,Credit Card,0.0
78,Song_78,Artist_4,Pop,0.681,0.925,-13.49,146.14,0.94,217219,36,249885,USA,Free,Apple Pay,0.0
79,Song_79,Artist_54,Pop,0.218,0.752,-17.03,190.68,0.062,283549,17,1498688,USA,Free,PayPal,0.0
80,Song_80,Artist_191,Rock,0.523,0.457,-19.55,190.42,0.326,256272,2,1553006,Australia,Premium,Credit Card,4.64
81,Song_81,Artist_146,Rock,0.856,0.505,-16.01,140.09,0.106,228987,33,657897,France,Free,Apple Pay,0.0
82,Song_82,Artist_44,Indie,0.426,0.778,-13.65,101.67,0.335,122039,93,626760,Spain,Premium,Google Pay,7.26
83,Song_83,Artist_162,Country,0.271,0.669,-8.59,199.6,0.415,209374,6,1972767,UK,Free,Apple Pay,0.0
84,Song_84,Artist_190,Indie,0.769,0.724,-22.34,155.31,0.879,219611,43,1590216,Germany,Premium,Credit Card,10.07
85,Song_85,Artist_14,Pop,0.655,0.504,-20.12,117.18,0.123,312428,88,1428303,Australia,Premium,Google Pay,10.41
86,Song_86,Artist_95,Hip-Hop,0.628,0.58,-16.65,138.38,0.749,257706,11,828003,Canada,Premium,Apple Pay,9.31
87,Song_87,Artist_48,Hip-Hop,0.24,0.972,-17.07,118.22,0.406,184899,5,173216,UK,Free,Apple Pay,0.0
88,Song_88,Artist_15,Rock,0.305,0.367,-16.38,184.36,0.78,121724,30,1411480,Japan,Premium,Credit Card,3.98
89,Song_89,Artist_200,Classical,0.667,0.526,-7.54,127.55,0.512,207590,10,625086,UK,Premium,Google Pay,7.12
90,Song_90,Artist_190,Pop,0.356,0.428,-17.87,175.29,0.085,253527,91,726956,France,Premium,Google Pay,5.58
91,Song_91,Artist_40,Hip-Hop,0.578,0.797,-13.96,177.62,0.902,232966,91,714852,Spain,Premium,Apple Pay,5.27
92,Song_92,Artist_82,Pop,0.609,0.796,-11.27,175.41,0.124,192628,24,1274165,Australia,Free,PayPal,0.0
93,Song_93,Artist_111,Jazz,0.413,0.428,-19.89,161.11,0.588,305519,59,1321199,UK,Free,Credit Card,0.0
94,Song_94,Artist_53,Latin,0.911,0.263,-9.19,179.68,0.84,277684,67,1537851,India,Free,Credit Card,0.0
95,Song_95,Artist_24,Country,0.832,0.209,-12.96,114.21,0.122,160456,61,1338534,Australia,Free,Debit Card,0.0
96,Song_96,Artist_154,Indie,0.742,0.533,-15.17,76.05,0.549,162773,26,1059641,Germany,Free,Google Pay,0.0
97,Song_97,Artist_188,Pop,0.258,0.52,-7.18,177.94,0.792,254133,39,1018558,Canada,Free,Google Pay,0.0
98,Song_98,Artist_124,Latin,0.28,0.971,-19.64,129.74,0.938,283073,82,813252,UK,Free,Debit Card,0.0
99,Song_99,Artist_41,Jazz,0.57,0.566,-5.57,77.83,0.702,130586,3,1453230,USA,Premium,Apple Pay,10.46
100,Song_100,Artist_157,Indie,0.321,0.4,-12.66,76.14,0.301,214479,38,23871,Canada,Premium,Apple Pay,7.71
101,Song_101,Artist_15,Pop,0.934,0.895,-11.6,82.29,0.68,195012,42,836757,Australia,Premium,Credit Card,11.18
102,Song_102,Artist_45,Rock,0.319,0.583,-5.75,165.14,0.685,210507,48,234688,Brazil,Premium,Apple Pay,3.18
103,Song_103,Artist_65,Latin,0.566,0.667,-7.01,159.52,0.68,254835,89,282805,USA,Premium,PayPal,5.04
104,Song_104,Artist_89,Indie,0.473,0.275,-11.77,88.53,0.819,165209,13,1890858,Japan,Premium,PayPal,9.96
105,Song_105,Artist_71,Pop,0.68,0.499,-8.43,178.57,0.129,275150,89,1837404,UK,Free,PayPal,0.0
106,Song_106,Artist_9,Latin,0.297,0.936,-15.47,99.38,0.148,178434,88,1574037,India,Premium,Debit Card,11.65
107,Song_107,Artist_88,Jazz,0.523,0.66,-12.96,171.02,0.627,155656,56,1956917,UK,Premium,PayPal,3.0
108,Song_108,Artist_129,Pop,0.406,0.469,-23.63,128.43,0.908,304667,59,176426,Spain,Premium,Debit Card,8.69
109,Song_109,Artist_136,Pop,0.866,0.688,-23.02,162.42,0.469,255078,63,279057,Japan,Free,Credit Card,0.0
110,Song_110,Artist_63,Pop,0.23,0.91,-6.75,113.39,0.915,137470,80,1764903,UK,Free,Credit Card,0.0
111,Song_111,Artist_139,R&B,0.885,0.414,-23.69,108.6,0.894,192035,43,745831,India,Premium,PayPal,9.91
112,Song_112,Artist_81,Rock,0.825,0.594,-21.27,177.79,0.863,219608,75,1650480,Spain,Premium,Debit Card,10.72
113,Song_113,Artist_136,Jazz,0.423,0.948,-7.49,64.94,0.869,196840,57,1805486,India,Premium,PayPal,7.76
114,Song_114,Artist_163,Indie,0.792,0.334,-24.97,196.46,0.858,215771,21,1433153,Australia,Premium,Apple Pay,10.65
115,Song_115,Artist_163,R&B,0.223,0.761,-18.79,150.75,0.788,273966,95,1134574,Australia,Free,Debit Card,0.0
116,Song_116,Artist_33,Classical,0.925,0.679,-12.15,120.55,0.675,268470,54,588014,India,Free,Debit Card,0.0
117,Song_117,Artist_123,R&B,0.595,0.73,-11.9,147.93,0.072,165332,79,1822675,Japan,Premium,Debit Card,7.72
118,Song_118,Artist_5,Country,0.427,0.474,-7.9,77.18,0.169,240536,53,448097,Japan,Free,Debit Card,0.0
119,Song_119,Artist_41,Country,0.472,0.445,-13.87,131.97,0.171,197533,45,625291,India,Free,Apple Pay,0.0
120,Song_120,Artist_28,Pop,0.25,0.734,-13.79,197.91,0.071,281852,36,1392219,Australia,Premium,PayPal,9.97
121,Song_121,Artist_135,R&B,0.942,0.368,-9.04,92.94,0.155,293158,63,318964,India,Premium,Credit Card,3.61
122,Song_122,Artist_72,Classical,0.229,0.527,-14.03,161.12,0.878,277578,1,1697706,Germany,Free,Google Pay,0.0
123,Song_123,Artist_12,R&B,0.691,0.347,-11.61,120.9,0.647,250194,92,806907,Brazil,Premium,Google Pay,7.72
124,Song_124,Artist_162,Rock,0.532,0.206,-5.25,151.34,0.331,228618,97,479920,France,Premium,Debit Card,4.93
125,Song_125,Artist_33,Rock,0.912,0.957,-16.17,88.68,0.764,223424,67,1510172,USA,Premium,Debit Card,7.87
126,Song_126,Artist_48,Classical,0.384,0.537,-16.53,125.87,0.49,215596,79,1481957,Australia,Premium,Credit Card,7.1
127,Song_127,Artist_151,R&B,0.599,0.956,-24.92,197.21,0.178,171020,33,1553981,India,Premium,Google Pay,9.64
128,Song_128,Artist_62,Latin,0.562,0.309,-11.5,87.34,0.846,265057,32,1953947,France,Free,Debit Card,0.0
129,Song_129,Artist_37,Rock,0.727,0.658,-24.35,149.1,0.355,222416,87,1163988,Japan,Free,Apple Pay,0.0
130,Song_130,Artist_99,Rock,0.251,0.357,-13.91,140.58,0.679,242610,58,893256,India,Free,Google Pay,0.0
131,Song_131,Artist_172,Hip-Hop,0.345,0.816,-7.31,139.11,0.312,252534,26,523812,Spain,Free,Apple Pay,0.0
132,Song_132,Artist_104,R&B,0.361,0.811,-12.9,146.12,0.5,144082,61,1977022,Japan,Free,Credit Card,0.0
133,Song_133,Artist_35,Rock,0.754,0.288,-19.07,130.31,0.785,252937,17,558948,Brazil,Free,Credit Card,0.0
134,Song_134,Artist_193,Jazz,0.342,0.911,-7.7,62.37,0.191,156777,73,1320126,India,Free,Google Pay,0.0
135,Song_135,Artist_101,R&B,0.63,0.352,-19.07,186.01,0.93,262394,69,1265997,India,Free,PayPal,0.0
136,Song_136,Artist_175,Country,0.361,0.678,-8.87,175.78,0.113,278834,29,1718107,Germany,Free,Google Pay,0.0
137,Song_137,Artist_131,Hip-Hop,0.846,0.969,-11.57,84.38,0.531,134538,63,482881,Brazil,Free,Apple Pay,0.0
138,Song_138,Artist_1,Rock,0.907,0.888,-21.26,117.86,0.874,177125,6,96839,Brazil,Free,PayPal,0.0
139,Song_139,Artist_5,Hip-Hop,0.589,0.946,-5.09,167.88,0.901,210583,59,486943,Australia,Free,Apple Pay,0.0
140,Song_140,Artist_142,Country,0.464,0.467,-20.59,197.21,0.259,254249,99,612547,Japan,Free,Apple Pay,0.0
141,Song_141,Artist_103,Classical,0.376,0.282,-3.23,193.16,0.18,147502,21,1656389,Canada,Free,Apple Pay,0.0
142,Song_142,Artist_27,Classical,0.237,0.347,-24.84,185.91,0.702,249988,45,452111,Brazil,Premium,Debit Card,5.71
143,Song_143,Artist_137,R&B,0.401,0.59,-19.2,82.17,0.088,139249,45,376120,UK,Free,PayPal,0.0
144,Song_144,Artist_15,Country,0.691,0.819,-20.6,188.03,0.487,123197,87,316710,Brazil,Free,Debit Card,0.0
145,Song_145,Artist_90,Electronic,0.6,0.317,-24.69,182.98,0.767,155229,35,672672,France,Premium,Debit Card,10.3
146,Song_146,Artist_42,Electronic,0.908,0.715,-8.89,112.77,0.554,144166,52,99039,India,Free,Apple Pay,0.0
147,Song_147,Artist_124,R&B,0.497,0.452,-9.74,115.23,0.219,259764,46,1363385,France,Free,Credit Card,0.0
148,Song_148,Artist_179,Pop,0.72,0.466,-7.57,124.39,0.488,226298,66,161472,USA,Free,Google Pay,0.0
149,Song_149,Artist_63,Hip-Hop,0.567,0.716,-19.35,151.86,0.879,121775,57,1417067,Canada,Premium,Credit Card,9.81
150,Song_150,Artist_96,Hip-Hop,0.584,0.564,-15.22,96.52,0.605,152656,42,1198209,USA,Premium,Apple Pay,4.24
151,Song_151,Artist_52,Classical,0.401,0.833,-10.5,63.21,0.699,120606,73,963910,France,Free,Google Pay,0.0
152,Song_152,Artist_96,Electronic,0.541,0.322,-15.33,79.77,0.353,177281,77,1136677,Canada,Free,Google Pay,0.0
153,Song_153,Artist_132,Indie,0.553,0.816,-9.66,121.62,0.22,127375,98,1395123,Japan,Free,Apple Pay,0.0
154,Song_154,Artist_151,Rock,0.73,0.25,-11.05,99.48,0.28,250708,16,30621,USA,Free,Debit Card,0.0
155,Song_155,Artist_143,Rock,0.905,0.351,-22.48,167.03,0.53,247325,5,970967,Spain,Premium,Google Pay,10.56
156,Song_156,Artist_171,Rock,0.447,0.712,-7.82,74.94,0.302,120819,1,1922213,Brazil,Premium,Google Pay,11.57
157,Song_157,Artist_29,Classical,0.232,0.867,-9.15,188.45,0.538,196992,22,1663097,France,Premium,Google Pay,8.9
158,Song_158,Artist_36,Country,0.572,0.397,-10.57,185.35,0.687,282445,48,403953,USA,Premium,Google Pay,5.95
159,Song_159,Artist_13,Latin,0.608,0.455,-21.59,187.23,0.711,251855,26,33035,Australia,Free,PayPal,0.0
160,Song_160,Artist_160,Electronic,0.326,0.619,-19.1,163.55,0.198,302070,34,1161833,Australia,Free,Debit Card,0.0
161,Song_161,Artist_71,Electronic,0.77,0.365,-16.35,74.98,0.725,127560,58,1032227,Spain,Premium,PayPal,7.1
162,Song_162,Artist_187,Indie,0.939,0.833,-18.84,121.34,0.655,149168,85,1124800,UK,Premium,PayPal,9.55
163,Song_163,Artist_86,Hip-Hop,0.909,0.803,-19.99,78.4,0.061,316999,7,13974,Canada,Free,Apple Pay,0.0
164,Song_164,Artist_28,Pop,0.348,0.313,-7.28,198.28,0.103,275336,25,25648,Japan,Free,Debit Card,0.0
165,Song_165,Artist_66,R&B,0.857,0.562,-10.96,106.63,0.632,246625,57,432342,Brazil,Premium,Credit Card,8.29
166,Song_166,Artist_170,Hip-Hop,0.728,0.804,-12.56,141.95,0.395,219436,12,1006983,Canada,Premium,Debit Card,4.71
167,Song_167,Artist_45,Country,0.54,0.463,-20.03,169.12,0.181,198598,31,29612,Brazil,Free,Credit Card,0.0
168,Song_168,Artist_62,R&B,0.605,0.694,-4.8,188.89,0.09,297873,27,1682586,USA,Premium,Google Pay,6.69
169,Song_169,Artist_185,Electronic,0.837,0.239,-20.79,165.78,0.193,195924,86,509994,UK,Free,Credit Card,0.0
170,Song_170,Artist_134,Country,0.56,0.675,-7.51,154.43,0.912,298431,34,1354296,India,Free,Credit Card,0.0
171,Song_171,Artist_28,R&B,0.48,0.319,-3.73,125.24,0.705,279108,81,1569844,France,Premium,Credit Card,10.29
172,Song_172,Artist_28,Indie,0.57,0.848,-9.0,144.76,0.525,125318,75,408799,Japan,Premium,Google Pay,6.29
173,Song_173,Artist_108,Indie,0.634,0.477,-3.16,73.18,0.897,314443,93,1463978,Spain,Free,Google Pay,0.0
174,Song_174,Artist_44,Jazz,0.342,0.42,-10.68,183.75,0.607,174714,34,1599427,UK,Free,PayPal,0.0
175,Song_175,Artist_84,Latin,0.876,0.856,-20.22,136.13,0.703,150544,37,683051,Japan,Free,Credit Card,0.0
176,Song_176,Artist_30,Indie,0.706,0.239,-20.52,65.62,0.304,140823,58,1378847,USA,Free,Debit Card,0.0
177,Song_177,Artist_190,Electronic,0.675,0.509,-17.86,188.79,0.58,300900,60,81994,USA,Free,Apple Pay,0.0
178,Song_178,Artist_75,Pop,0.275,0.489,-24.84,128.5,0.179,224555,26,1448693,Germany,Premium,PayPal,6.97
179,Song_179,Artist_128,Rock,0.653,0.422,-10.0,181.6,0.414,136978,45,631671,Spain,Free,Credit Card,0.0
180,Song_180,Artist_92,Jazz,0.291,0.911,-19.09,179.96,0.08,279532,45,108083,Germany,Premium,PayPal,8.17
181,Song_181,Artist_190,Rock,0.259,0.786,-7.07,174.21,0.245,295183,32,1582898,India,Free,Credit Card,0.0
182,Song_182,Artist_129,Latin,0.595,0.25,-17.1,68.6,0.117,254396,69,299561,Japan,Free,Credit Card,0.0
183,Song_183,Artist_121,R&B,0.502,0.757,-14.44,94.59,0.399,306650,84,881160,Australia,Premium,PayPal,4.77
184,Song_184,Artist_27,Classical,0.642,0.611,-3.75,182.58,0.809,242418,71,212724,Spain,Free,Credit Card,0.0
185,Song_185,Artist_190,Indie,0.267,0.903,-19.67,185.86,0.39,254006,23,1985029,Brazil,Free,Credit Card,0.0
186,Song_186,Artist_121,Pop,0.523,0.444,-9.13,124.13,0.798,125033,65,119297,UK,Free,Apple Pay,0.0
187,Song_187,Artist_116,Latin,0.331,0.648,-8.39,121.61,0.641,225067,39,1607353,Germany,Free,Debit Card,0.0
188,Song_188,Artist_3,Rock,0.94,0.591,-20.14,84.52,0.509,257158,67,133876,Japan,Premium,Google Pay,5.01
189,Song_189,Artist_103,Jazz,0.621,0.582,-13.98,195.58,0.263,288173,45,79147,Australia,Premium,Apple Pay,11.49
190,Song_190,Artist_198,Indie,0.716,0.556,-17.3,89.84,0.88,295017,67,1634402,UK,Premium,Google Pay,7.44
191,Song_191,Artist_200,Electronic,0.444,0.36,-8.02,86.73,0.099,138894,63,458760,Spain,Free,Google Pay,0.0
192,Song_192,Artist_155,Indie,0.271,0.789,-11.31,152.5,0.67,312185,70,1771126,Brazil,Free,Debit Card,0.0
193,Song_193,Artist_137,Jazz,0.932,0.552,-14.53,94.0,0.609,124687,95,835309,France,Free,Apple Pay,0.0
194,Song_194,Artist_62,Jazz,0.415,0.948,-7.85,191.43,0.447,253959,54,1303020,Brazil,Premium,Credit Card,8.44
195,Song_195,Artist_165,Classical,0.518,0.403,-19.83,61.53,0.266,254115,27,961160,India,Free,Debit Card,0.0
196,Song_196,Artist_51,Indie,0.687,0.733,-8.42,60.81,0.438,269087,93,1465629,UK,Free,Credit Card,0.0
197,Song_197,Artist_172,Indie,0.219,0.934,-5.96,130.68,0.835,137789,79,316535,India,Free,Credit Card,0.0
198,Song_198,Artist_152,Classical,0.808,0.717,-5.67,128.33,0.803,176784,36,14229,UK,Free,Credit Card,0.0
199,Song_199,Artist_59,Country,0.602,0.88,-7.76,82.87,0.897,126115,5,945791,UK,Free,Credit Card,0.0
200,Song_200,Artist_118,Country,0.409,0.845,-16.02,129.23,0.327,148821,67,1722212,UK,Premium,Apple Pay,10.56
201,Song_201,Artist_160,R&B,0.246,0.481,-3.4,117.63,0.398,142879,51,1797612,UK,Free,Google Pay,0.0
202,Song_202,Artist_96,Country,0.322,0.668,-16.65,184.65,0.067,237177,89,1184938,Australia,Premium,Google Pay,3.39
203,Song_203,Artist_180,Hip-Hop,0.871,0.322,-10.95,61.3,0.899,304714,32,356810,Brazil,Premium,Apple Pay,7.29
204,Song_204,Artist_113,Indie,0.715,0.618,-21.46,196.68,0.346,311852,21,51812,Spain,Premium,Google Pay,5.62
205,Song_205,Artist_62,Pop,0.387,0.38,-3.43,147.41,0.414,169157,17,1470914,Brazil,Free,Debit Card,0.0
206,Song_206,Artist_186,Indie,0.249,0.78,-9.51,81.26,0.867,283789,73,113203,USA,Free,Credit Card,0.0
207,Song_207,Artist_52,Hip-Hop,0.718,0.612,-8.43,66.55,0.524,180262,26,694041,Australia,Premium,Credit Card,11.85
208,Song_208,Artist_12,Hip-Hop,0.629,0.521,-23.55,135.33,0.56,160971,22,942224,India,Free,Credit Card,0.0
209,Song_209,Artist_39,Rock,0.503,0.41,-8.2,92.88,0.209,221146,41,467102,Japan,Premium,PayPal,4.77
210,Song_210,Artist_130,Indie,0.473,0.979,-7.96,102.16,0.499,241535,59,1495864,Japan,Free,Debit Card,0.0
211,Song_211,Artist_131,Latin,0.363,0.256,-10.22,94.32,0.876,212384,87,632920,UK,Premium,PayPal,10.36
212,Song_212,Artist_113,Hip-Hop,0.702,0.234,-18.58,151.02,0.553,314895,75,1820923,Canada,Premium,Apple Pay,8.21
213,Song_213,Artist_101,Pop,0.928,0.369,-14.23,137.49,0.28,275814,10,3523,Germany,Free,PayPal,0.0
214,Song_214,Artist_113,Classical,0.332,0.957,-22.57,70.92,0.078,232453,87,782489,Germany,Premium,Google Pay,11.15
215,Song_215,Artist_184,R&B,0.648,0.964,-14.63,133.71,0.353,220277,5,100964,Spain,Free,Google Pay,0.0
216,Song_216,Artist_81,Rock,0.518,0.711,-19.64,170.77,0.565,146520,55,401846,Japan,Premium,Debit Card,3.36
217,Song_217,Artist_187,Classical,0.535,0.886,-17.32,71.37,0.088,134833,26,1840520,Australia,Premium,PayPal,5.31
